shortfall_hours,max_shortfall_kw,storm_sols,reliability,sim,scenario
0.0,0.0,14,1.0,0,6p Solar+Fission
0.0,0.0,48,1.0,1,6p Solar+Fission
0.0,0.0,16,1.0,2,6p Solar+Fission
0.0,0.0,15,1.0,3,6p Solar+Fission
0.0,0.0,15,1.0,4,6p Solar+Fission
0.0,0.0,41,1.0,5,6p Solar+Fission
0.0,0.0,11,1.0,6,6p Solar+Fission
0.0,0.0,36,1.0,7,6p Solar+Fission
0.0,0.0,42,1.0,8,6p Solar+Fission
0.0,0.0,42,1.0,9,6p Solar+Fission
0.0,0.0,17,1.0,10,6p Solar+Fission
0.0,0.0,1,1.0,11,6p Solar+Fission
0.0,0.0,18,1.0,12,6p Solar+Fission
0.0,0.0,41,1.0,13,6p Solar+Fission
0.0,0.0,26,1.0,14,6p Solar+Fission
0.0,0.0,40,1.0,15,6p Solar+Fission
0.0,0.0,38,1.0,16,6p Solar+Fission
0.0,0.0,16,1.0,17,6p Solar+Fission
0.0,0.0,27,1.0,18,6p Solar+Fission
0.0,0.0,45,1.0,19,6p Solar+Fission
0.0,0.0,70,1.0,20,6p Solar+Fission
0.0,0.0,5,1.0,21,6p Solar+Fission
0.0,0.0,11,1.0,22,6p Solar+Fission
0.0,0.0,5,1.0,23,6p Solar+Fission
0.0,0.0,35,1.0,24,6p Solar+Fission
0.0,0.0,33,1.0,25,6p Solar+Fission
0.0,0.0,16,1.0,26,6p Solar+Fission
0.0,0.0,83,1.0,27,6p Solar+Fission
0.0,0.0,17,1.0,28,6p Solar+Fission
0.0,0.0,1,1.0,29,6p Solar+Fission
0.0,0.0,4,1.0,30,6p Solar+Fission
0.0,0.0,27,1.0,31,6p Solar+Fission
0.0,0.0,24,1.0,32,6p Solar+Fission
0.0,0.0,44,1.0,33,6p Solar+Fission
0.0,0.0,26,1.0,34,6p Solar+Fission
0.0,0.0,31,1.0,35,6p Solar+Fission
0.0,0.0,1,1.0,36,6p Solar+Fission
0.0,0.0,73,1.0,37,6p Solar+Fission
0.0,0.0,4,1.0,38,6p Solar+Fission
0.0,0.0,55,1.0,39,6p Solar+Fission
0.0,0.0,32,1.0,40,6p Solar+Fission
0.0,0.0,22,1.0,41,6p Solar+Fission
0.0,0.0,8,1.0,42,6p Solar+Fission
0.0,0.0,3,1.0,43,6p Solar+Fission
